"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000233198.3",15.3194692370092,-0.760175362609732,0.502836936676943,-1.51177311601936,0.130591590808252,0.29599745293868
"ENSG00000237149.5",62.1283594628857,0.453410699616246,0.299956449988409,1.51158843103313,0.130638596601995,0.296069468698272
"ENSG00000183579.16",928.302795897117,0.186678814705482,0.123514116026959,1.51139659749285,0.130687435733043,0.296145622118157
"ENSG00000167977.9",2353.65182738765,-0.178707161601946,0.118259662331672,-1.51114216021302,0.13075223507472,0.296231580713137
"ENSG00000189050.16",781.704791625544,-0.157686277631424,0.104350049441119,-1.51112796281329,0.130755851560918,0.296231580713137
"ENSG00000144357.16",1727.77223143114,-0.240521141792119,0.159178001208275,-1.51101998998852,0.130783357884864,0.296259364085107
"ENSG00000245213.7",76.8932388334535,0.346134866308931,0.229091074101334,1.51090507417947,0.1308126378801,0.296291158354227
"ENSG00000118004.17",3.31520974512459,-1.5854629509604,1.04955631375759,-1.51060303308945,0.130889620741259,0.296430979809731
"ENSG00000006530.18",458.576282391086,0.181268038634816,0.120002554771924,1.51053482969036,0.130907008975822,0.296435818065255
"ENSG00000105258.9",41.7385230014984,0.700006391631176,0.463463184874854,1.51038186953338,0.130946012184294,0.296489596087364
"ENSG00000114423.22",164.642110878128,0.384551277667688,0.254624490011256,1.51026822930775,0.130974995064358,0.296516202394696
"ENSG00000120451.10",4088.54842807498,-0.152408203962499,0.100923298193318,-1.51013895394661,0.131007971588413,0.296516202394696
"ENSG00000241556.1",5.70216376633195,-1.15414883361986,0.764304639533622,-1.51006388542155,0.131027123582932,0.296516202394696
"ENSG00000245322.7",6.2873828982788,1.11109450244946,0.735806258384209,1.51003676550585,0.131034043134804,0.296516202394696
"ENSG00000262691.1",8.22285606571828,1.32420390189308,0.876913675854849,1.5100732698714,0.131024729239287,0.296516202394696
"ENSG00000261220.2",39.297952583719,0.53822086770908,0.356444106783299,1.50997269267883,0.131050392218704,0.296518675571914
"ENSG00000184216.14",18813.7097635993,-0.186919442475095,0.123810041449146,-1.50972764637892,0.131112933826207,0.296594545096848
"ENSG00000245498.7",39.7637504406629,-0.440104083154947,0.29151337902709,-1.50972173086454,0.131114443891342,0.296594545096848
"ENSG00000101353.14",36.1955354793674,0.477435358922193,0.316301588185416,1.50943079881825,0.131188727337098,0.296602210362967
"ENSG00000196689.12",72.7953914144528,-0.378885569623703,0.250992560432446,-1.5095490040458,0.131158542156444,0.296602210362967
"ENSG00000197296.6",850.495687923889,-0.164710683808643,0.109122587403203,-1.50940962570879,0.131194134723731,0.296602210362967
"ENSG00000235245.1",20.7340928723014,0.678370459715242,0.449387346517332,1.50954508392924,0.131159543120806,0.296602210362967
"ENSG00000279267.1",4.84477088125159,-1.62311136985629,1.07527915912332,-1.50947905581991,0.131176403658662,0.296602210362967
"ENSG00000110711.10",3240.68949707568,0.179540993437047,0.118964731742566,1.50919512705298,0.131248925139823,0.29669156885527
"ENSG00000263069.6",11.7142069065447,1.00644889452147,0.666936337750262,1.50906291583462,0.131282705319467,0.296733417907799
"ENSG00000256128.6",15.6346234276495,0.761573543434761,0.504709408502039,1.50893470699325,0.131315469322669,0.296772960669232
"ENSG00000131781.13",116.512655700547,-0.471626133312561,0.312757151580311,-1.50796274658952,0.131564061816188,0.297300209912735
"ENSG00000026036.22",124.729537565751,0.526814094822096,0.349393797176792,1.50779464054289,0.131607094270473,0.297362878893386
"ENSG00000130827.6",1165.17273927113,0.199117395568815,0.132069057502229,1.50767635761658,0.131637379342408,0.297396734267005
"ENSG00000245970.2",11.1503307445336,0.861130871767844,0.571303368999005,1.50730928346642,0.131731399126029,0.297574555254939
"ENSG00000008056.14",2.55946580675647,2.49029070347338,1.65240087785027,1.5070741833018,0.131791643358758,0.297641457160216
"ENSG00000096088.16",2.82987678175008,2.45669523237401,1.63007293387128,1.50710755410163,0.131783090817474,0.297641457160216
"ENSG00000171204.12",3135.00789424802,-0.138466465162494,0.0918934906028657,-1.50681472924891,0.1318581530374,0.297757065462403
"ENSG00000128059.8",2812.59158482044,-0.140039556788951,0.0929452463446427,-1.50668874736941,0.13189045720762,0.297760823125485
"ENSG00000185614.6",10.4501331890595,1.0080394195902,0.669037726213646,1.50670041478094,0.131887465201866,0.297760823125485
"ENSG00000173451.7",117.601887527632,-0.294332765084673,0.195367055452643,-1.50656293817163,0.131922723218746,0.29779907647846
"ENSG00000249859.11",442.954411798175,-0.197094925407227,0.130851773852284,-1.50624572831334,0.132004104494051,0.297942725081449
"ENSG00000250903.9",59.0582861854486,0.509318033624223,0.338148709070011,1.50619541037128,0.132017017308162,0.297942725081449
"ENSG00000136936.10",611.94469842002,-0.199076362137238,0.132217765260117,-1.50567029888599,0.132151832160583,0.298212354565552
"ENSG00000173960.14",1538.67569124514,-0.127308426000514,0.08456103830874,-1.50552108331144,0.132190160575518,0.298264216501714
