Ensembl ID#,S2-013-1,S2-013-2,S2-013-3,S2-LM7AA-1,S2-LM7AA-2,S2-LM7AA-3,Suit2-1,Suit2-2,Suit2-3,Suit2-OE-1,Suit2-OE-2,Suit2-OE-3
ENSG00000165795.23,916,1055,1069,750,1614,1140,795,760,630,990,1767,1422
ENSG00000165799.5,0,1,1,2,7,2,3,5,6,1,7,7
ENSG00000165801.10,3365,3450,3056,3117,6327,3983,2351,1783,1785,3815,5644,4429
ENSG00000165802.22,6010,4522,4997,3385,5855,4290,3203,3204,2496,4526,4190,5214
ENSG00000165804.16,2213,1836,1826,1162,2019,1436,760,677,506,1676,1637,1760
ENSG00000165805.10,0,1,0,0,4,0,0,0,0,0,0,0
ENSG00000165806.20,1989,1809,1841,1207,2058,1345,1131,1028,857,1190,1396,1704
ENSG00000165807.8,6,6,9,7,45,30,11,8,11,15,21,15
ENSG00000165810.17,137,117,109,79,163,124,107,44,40,74,68,118
ENSG00000165813.20,2089,1684,1450,994,1824,952,1415,729,1030,1267,1831,1561
ENSG00000165816.13,83,55,68,41,96,30,47,21,34,45,100,46
ENSG00000165819.12,2036,1645,1915,1387,2389,1649,1282,990,769,1282,1216,1881
ENSG00000165821.12,34,24,36,157,255,128,91,58,71,131,273,179
ENSG00000165828.15,0,0,2,0,0,1,0,0,0,0,0,1
ENSG00000165832.6,3673,2643,2574,1561,2659,1474,1428,1156,1003,1472,1541,1979
ENSG00000165837.12,3,2,2,1,4,0,3,3,0,3,1,1
ENSG00000165841.11,0,0,0,0,3,0,3,7,9,7,8,6
ENSG00000165861.14,548,550,463,229,458,270,155,114,135,305,520,305
ENSG00000165863.17,10,6,7,7,5,4,2,12,3,3,3,6
ENSG00000165868.14,13666,12373,11351,12330,20519,12687,11959,7876,8033,11559,12396,15451
ENSG00000165874.13,6,0,0,1,2,1,0,0,1,0,4,3
ENSG00000165879.9,191,193,185,136,182,114,67,85,29,170,235,176
ENSG00000165886.5,1709,1080,1501,792,1143,898,479,507,355,782,643,899
